INFO 2025-08-06 21:44:19,664 autoreload Watching for file changes with StatReloader
DEBUG 2025-08-06 21:44:19,674 autoreload Waiting for apps ready_event.
DEBUG 2025-08-06 21:44:19,780 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2025-08-06 21:44:19,933 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-08-06 21:44:19,947 autoreload Watching dir /Users/Bebila Singh/dd_ko_maya/templates with glob **/*.
DEBUG 2025-08-06 21:44:20,045 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/views/__init__.py first seen with mtime 1754494248.9414103
DEBUG 2025-08-06 21:44:20,047 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1754494242.206387
DEBUG 2025-08-06 21:44:20,047 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/files/__init__.py first seen with mtime 1754494248.0884914
DEBUG 2025-08-06 21:44:20,047 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/backends/base/base.py first seen with mtime 1754494248.3513181
DEBUG 2025-08-06 21:44:20,047 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/backends/base/__init__.py first seen with mtime 1754494248.349642
DEBUG 2025-08-06 21:44:20,047 autoreload File /opt/anaconda3/lib/python3.12/json/decoder.py first seen with mtime 1728049825.4230392
DEBUG 2025-08-06 21:44:20,048 autoreload File /opt/anaconda3/lib/python3.12/asyncio/constants.py first seen with mtime 1728049824.1931274
DEBUG 2025-08-06 21:44:20,048 autoreload File /opt/anaconda3/lib/python3.12/asyncio/base_tasks.py first seen with mtime 1728049824.1898859
DEBUG 2025-08-06 21:44:20,048 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/apps/config.py first seen with mtime 1754494238.810776
DEBUG 2025-08-06 21:44:20,048 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/contrib/auth/apps.py first seen with mtime 1754494241.4030623
DEBUG 2025-08-06 21:44:20,048 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/lookups.py first seen with mtime 1754494248.4856994
DEBUG 2025-08-06 21:44:20,048 autoreload File /opt/anaconda3/lib/python3.12/importlib/__init__.py first seen with mtime 1728049825.3245916
DEBUG 2025-08-06 21:44:20,049 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_lzma.cpython-312-darwin.so first seen with mtime 1728049871.3951876
DEBUG 2025-08-06 21:44:20,049 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/utils/dates.py first seen with mtime 1754494248.8895729
DEBUG 2025-08-06 21:44:20,050 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/utils/translation/trans_real.py first seen with mtime 1754494248.9404593
DEBUG 2025-08-06 21:44:20,051 autoreload File /opt/anaconda3/lib/python3.12/json/__init__.py first seen with mtime 1728049825.4196079
DEBUG 2025-08-06 21:44:20,051 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/forms/fields.py first seen with mtime 1754494248.5307102
DEBUG 2025-08-06 21:44:20,051 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/utils/_os.py first seen with mtime 1754494248.8737001
DEBUG 2025-08-06 21:44:20,052 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1754494248.071728
DEBUG 2025-08-06 21:44:20,052 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/utils/tree.py first seen with mtime 1754494248.9297035
DEBUG 2025-08-06 21:44:20,052 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/contrib/messages/utils.py first seen with mtime 1754494244.7021978
DEBUG 2025-08-06 21:44:20,052 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/exceptions.py first seen with mtime 1754494248.0577152
DEBUG 2025-08-06 21:44:20,052 autoreload File /opt/anaconda3/lib/python3.12/wsgiref/__init__.py first seen with mtime 1728049826.1271455
DEBUG 2025-08-06 21:44:20,053 autoreload File /opt/anaconda3/lib/python3.12/inspect.py first seen with mtime 1728049823.8164268
DEBUG 2025-08-06 21:44:20,053 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/options.py first seen with mtime 1754494248.4896362
DEBUG 2025-08-06 21:44:20,053 autoreload File /opt/anaconda3/lib/python3.12/uuid.py first seen with mtime 1728049824.1314318
DEBUG 2025-08-06 21:44:20,053 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/files/base.py first seen with mtime 1754494248.089124
DEBUG 2025-08-06 21:44:20,053 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/sqlparse/filters/tokens.py first seen with mtime 1754494238.5470557
DEBUG 2025-08-06 21:44:20,053 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/urls/__init__.py first seen with mtime 1754494248.868535
DEBUG 2025-08-06 21:44:20,053 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/contrib/admin/widgets.py first seen with mtime 1754494239.1427348
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/http/response.py first seen with mtime 1754494248.7558696
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1754494238.546139
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/constraints.py first seen with mtime 1754494248.4795704
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/sqlparse/utils.py first seen with mtime 1754494238.5391502
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1754494248.5220096
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/urls/conf.py first seen with mtime 1754494248.8698268
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/environ/fileaware_mapping.py first seen with mtime 1754494238.643479
DEBUG 2025-08-06 21:44:20,054 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1754494240.5882452
DEBUG 2025-08-06 21:44:20,054 autoreload File /opt/anaconda3/lib/python3.12/sqlite3/dbapi2.py first seen with mtime 1728049825.8596954
DEBUG 2025-08-06 21:44:20,055 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/utils/asyncio.py first seen with mtime 1754494248.8749108
DEBUG 2025-08-06 21:44:20,055 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/contrib/admin/apps.py first seen with mtime 1754494239.1304832
DEBUG 2025-08-06 21:44:20,055 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/mail/message.py first seen with mtime 1754494248.2227712
DEBUG 2025-08-06 21:44:20,055 autoreload File /opt/anaconda3/lib/python3.12/email/_policybase.py first seen with mtime 1728049824.4317954
DEBUG 2025-08-06 21:44:20,055 autoreload File /opt/anaconda3/lib/python3.12/asyncio/transports.py first seen with mtime 1728049824.2685184
DEBUG 2025-08-06 21:44:20,055 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/forms/models.py first seen with mtime 1754494248.5337105
DEBUG 2025-08-06 21:44:20,055 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_pickle.cpython-312-darwin.so first seen with mtime 1728049870.0554435
DEBUG 2025-08-06 21:44:20,056 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/deletion.py first seen with mtime 1754494248.4814076
DEBUG 2025-08-06 21:44:20,056 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/http/multipartparser.py first seen with mtime 1754494248.6054258
DEBUG 2025-08-06 21:44:20,056 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/conf/global_settings.py first seen with mtime 1754494238.8132405
DEBUG 2025-08-06 21:44:20,056 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_bz2.cpython-312-darwin.so first seen with mtime 1728049874.8912792
DEBUG 2025-08-06 21:44:20,056 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/binascii.cpython-312-darwin.so first seen with mtime 1728049863.1278305
DEBUG 2025-08-06 21:44:20,056 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/management/__init__.py first seen with mtime 1754494248.2682917
DEBUG 2025-08-06 21:44:20,056 autoreload File /opt/anaconda3/lib/python3.12/logging/handlers.py first seen with mtime 1728049825.7159765
DEBUG 2025-08-06 21:44:20,056 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/utils.py first seen with mtime 1754494248.4951344
DEBUG 2025-08-06 21:44:20,056 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/templatetags/l10n.py first seen with mtime 1754494248.8550537
DEBUG 2025-08-06 21:44:20,057 autoreload File /opt/anaconda3/lib/python3.12/email/_parseaddr.py first seen with mtime 1728049824.4284422
DEBUG 2025-08-06 21:44:20,057 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/template/__init__.py first seen with mtime 1754494248.7845335
DEBUG 2025-08-06 21:44:20,057 autoreload File /opt/anaconda3/lib/python3.12/multiprocessing/reduction.py first seen with mtime 1728049825.7671146
DEBUG 2025-08-06 21:44:20,057 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1754494238.5432281
DEBUG 2025-08-06 21:44:20,057 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/template/base.py first seen with mtime 1754494248.7858868
DEBUG 2025-08-06 21:44:20,057 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_decimal.cpython-312-darwin.so first seen with mtime 1728049876.0424457
DEBUG 2025-08-06 21:44:20,057 autoreload File /opt/anaconda3/lib/python3.12/signal.py first seen with mtime 1728049823.9788961
DEBUG 2025-08-06 21:44:20,057 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/views/static.py first seen with mtime 1754494248.9510217
DEBUG 2025-08-06 21:44:20,057 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/wsgi.py first seen with mtime 1754494248.0650616
DEBUG 2025-08-06 21:44:20,057 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/utils/connection.py first seen with mtime 1754494248.8779244
DEBUG 2025-08-06 21:44:20,058 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/query.py first seen with mtime 1754494248.492118
DEBUG 2025-08-06 21:44:20,058 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/templatetags/i18n.py first seen with mtime 1754494248.8544981
DEBUG 2025-08-06 21:44:20,058 autoreload File /opt/anaconda3/lib/python3.12/operator.py first seen with mtime 1728049823.8724616
DEBUG 2025-08-06 21:44:20,058 autoreload File /opt/anaconda3/lib/python3.12/asyncio/runners.py first seen with mtime 1728049824.2339797
DEBUG 2025-08-06 21:44:20,058 autoreload File /Users/Bebila Singh/dd_ko_maya/config/__init__.py first seen with mtime 1753870580.9406662
DEBUG 2025-08-06 21:44:20,058 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/http/__init__.py first seen with mtime 1754494248.6040752
DEBUG 2025-08-06 21:44:20,058 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/backends/ddl_references.py first seen with mtime 1754494248.3465948
DEBUG 2025-08-06 21:44:20,058 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/management/commands/__init__.py first seen with mtime 1754494248.283837
DEBUG 2025-08-06 21:44:20,058 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/template/loaders/__init__.py first seen with mtime 1754494248.8342032
DEBUG 2025-08-06 21:44:20,058 autoreload File /opt/anaconda3/lib/python3.12/weakref.py first seen with mtime 1728049824.141177
DEBUG 2025-08-06 21:44:20,058 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_statistics.cpython-312-darwin.so first seen with mtime 1728049864.0787647
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/files/utils.py first seen with mtime 1754494248.094481
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/migrations/operations/models.py first seen with mtime 1754494248.4674904
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/migrations/operations/special.py first seen with mtime 1754494248.4682224
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/views/decorators/csrf.py first seen with mtime 1754494248.9598422
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/backends/base/client.py first seen with mtime 1754494248.3522847
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/core/handlers/__init__.py first seen with mtime 1754494248.102023
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1754494248.5112207
DEBUG 2025-08-06 21:44:20,059 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/template/smartif.py first seen with mtime 1754494248.8089674
DEBUG 2025-08-06 21:44:20,059 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_queue.cpython-312-darwin.so first seen with mtime 1728049870.2425501
